C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	16	Yersi	 16	     5347	59.7
 2	P	 2	16	Yersi	 17	     5371	59.7
 2	P	 2	16	Yersi	 18	     5363	59.7
 2	P	 2	16	Yersi	 19	     5331	59.7
 2	P	 2	16	Yersi	 20	     5345	59.7
 2	P	 2	16	Yersi	 21	     5343	59.7
 2	P	 2	16	Yersi	 22	     5356	59.7
 2	P	 2	16	Yersi	 23	     5403	59.7
 2	P	 2	16	Yersi	 24	     5367	59.7
 2	P	 2	16	Yersi	 25	     5358	59.7
 2	P	 2	16	Yersi	 26	     5353	59.7
 2	P	 2	16	Yersi	 27	     5390	59.7
 2	P	 2	16	Yersi	 28	     5399	59.7
 2	P	 2	16	Yersi	 29	     5383	59.7
 2	P	 2	16	Yersi	 30	     5384	59.7
 2	P	 2	16	Yersi	 31	     5361	59.7
 2	P	 2	16	Yersi	 32	     5429	59.7
 2	P	 2	16	Yersi	 33	     5418	59.7
 2	P	 2	16	Yersi	 34	     5417	59.7
 2	P	 2	16	Yersi	 35	     5388	59.7
 2	P	 2	16	Yersi	 36	     5396	59.7
 2	P	 2	16	Yersi	 37	     5409	59.7
 2	P	 2	16	Yersi	 38	     5431	59.7
 2	P	 2	16	Yersi	 39	     5405	59.7
 2	P	 2	16	Yersi	 40	     5416	59.7
 2	P	 2	16	Yersi	 41	     5423	59.7
 2	P	 2	16	Yersi	 42	     5450	59.7
 2	P	 2	16	Yersi	 43	     5446	59.7
 2	P	 2	16	Yersi	 44	     5434	59.7
 2	P	 2	16	Yersi	 45	     5398	59.7
 2	P	 2	16	ICD	  1	    11911	59.5
 2	P	 2	16	ICD	  2	    11679	59.6
 2	P	 2	16	ICD	  3	    11554	59.6
 2	P	 2	16	ICD	  4	    11468	59.6
 2	P	 2	16	ICD	  5	    11430	59.6
 2	P	 2	16	ICD	  6	    11492	59.7
 2	P	 2	16	ICD	  7	    11473	59.7
 2	P	 2	16	ICD	  8	    11446	59.7
